Indicator Code: CG1080
"Indicator Name: Cerebrovascular disease"
Export date: 2/12/2025 9:35:39 AM
Source location: "WHO Mortality Database portal"
"Indicator metadata: I60-I69"

Region Code,Region Name,Country Code,Country Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,"Age-standardized death rate per 100 000 standard population","Death rate per 100 000 population"
EU,Europe,GRC,Greece,2000,All,Age_all,[All],18753.00000000,17.83113055,86.94709972,171.77077043,
EU,Europe,GRC,Greece,2001,All,Age_all,[All],18538.00000000,18.07544925,84.79367495,169.29753032,
EU,Europe,GRC,Greece,2002,All,Age_all,[All],18626.00000000,17.92426502,83.38095961,169.51899871,
EU,Europe,GRC,Greece,2003,All,Age_all,[All],18468.00000000,17.50040273,80.92270715,167.53251136,
EU,Europe,GRC,Greece,2004,All,Age_all,[All],17599.00000000,16.77021593,76.43811454,159.09800768,
EU,Europe,GRC,Greece,2005,All,Age_all,[All],17223.00000000,16.38865364,71.80442398,155.10725978,
EU,Europe,GRC,Greece,2006,All,Age_all,[All],17065.00000000,16.25733557,67.90822372,153.06946663,
EU,Europe,GRC,Greece,2007,All,Age_all,[All],16280.00000000,14.81414077,62.26915916,145.45001009,
EU,Europe,GRC,Greece,2008,All,Age_all,[All],16064.00000000,14.87696682,58.95637420,142.95543998,
EU,Europe,GRC,Greece,2009,All,Age_all,[All],15493.00000000,14.30351933,54.26651162,137.31580179,
EU,Europe,GRC,Greece,2010,All,Age_all,[All],14910.00000000,13.66836566,49.38015347,131.85872068,
EU,Europe,GRC,Greece,2011,All,Age_all,[All],15041.00000000,13.53837568,47.79252357,133.10590021,
EU,Europe,GRC,Greece,2012,All,Age_all,[All],15868.00000000,13.60098742,47.88563174,143.04796190,
EU,Europe,GRC,Greece,2013,All,Age_all,[All],14996.00000000,13.41395782,43.78137239,136.75942006,
EU,Europe,GRC,Greece,2014,All,Age_all,[All],14279.00000000,12.55407069,40.18728426,131.09177627,
EU,Europe,GRC,Greece,2020,All,Age_all,[All],13022.00000000,9.93408807,32.36600906,121.71698530,
EU,Europe,GRC,Greece,2019,All,Age_all,[All],12973.00000000,10.37707173,32.73399242,120.99929581,
EU,Europe,GRC,Greece,2018,All,Age_all,[All],12574.00000000,10.44673197,32.64154134,117.15381997,
EU,Europe,GRC,Greece,2017,All,Age_all,[All],13797.00000000,11.07996980,36.31532690,128.28808537,
EU,Europe,GRC,Greece,2016,All,Age_all,[All],13779.00000000,11.58366400,37.12215063,127.86761382,
EU,Europe,GRC,Greece,2015,All,Age_all,[All],14445.00000000,11.89035683,39.54067856,133.49087937,
