Indicator Code: CG0790
"Indicator Name: Diabetes mellitus"
Export date: 2/12/2025 9:38:12 AM
Source location: "WHO Mortality Database portal"
"Indicator metadata: E10-E14"

Region Code,Region Name,Country Code,Country Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,"Age-standardized death rate per 100 000 standard population","Death rate per 100 000 population"
EU,Europe,GRC,Greece,2000,All,Age_all,[All],839.00000000,0.79775601,4.12593280,7.68493982,
EU,Europe,GRC,Greece,2001,All,Age_all,[All],700.00000000,0.68253396,3.37205639,6.39272150,
EU,Europe,GRC,Greece,2002,All,Age_all,[All],811.00000000,0.78044556,3.80598352,7.38107527,
EU,Europe,GRC,Greece,2003,All,Age_all,[All],855.00000000,0.81020383,3.95323546,7.75613479,
EU,Europe,GRC,Greece,2004,All,Age_all,[All],1013.00000000,0.96529512,4.51255414,9.15769542,
EU,Europe,GRC,Greece,2005,All,Age_all,[All],1063.00000000,1.01150432,4.60192096,9.57318801,
EU,Europe,GRC,Greece,2006,All,Age_all,[All],1317.00000000,1.25466809,5.42303653,11.81321345,
EU,Europe,GRC,Greece,2007,All,Age_all,[All],1394.00000000,1.26848355,5.58411618,12.45438047,
EU,Europe,GRC,Greece,2008,All,Age_all,[All],1242.00000000,1.15022365,4.72050112,11.05270521,
EU,Europe,GRC,Greece,2009,All,Age_all,[All],1063.00000000,0.98138779,4.01449101,9.42146113,
EU,Europe,GRC,Greece,2010,All,Age_all,[All],1075.00000000,0.98547908,4.01907662,9.50691648,
EU,Europe,GRC,Greece,2011,All,Age_all,[All],1152.00000000,1.03691302,4.21033568,10.19466771,
EU,Europe,GRC,Greece,2012,All,Age_all,[All],1165.00000000,0.99856002,4.23626861,10.50232390,
EU,Europe,GRC,Greece,2013,All,Age_all,[All],1400.00000000,1.25230334,5.02969868,12.76761724,
EU,Europe,GRC,Greece,2014,All,Age_all,[All],1667.00000000,1.46562335,5.90218347,15.30429239,
EU,Europe,GRC,Greece,2020,All,Age_all,[All],2401.00000000,1.83164993,7.65867219,22.44221177,
EU,Europe,GRC,Greece,2019,All,Age_all,[All],2385.00000000,1.90775581,7.53715105,22.24491795,
EU,Europe,GRC,Greece,2018,All,Age_all,[All],2220.00000000,1.84442063,7.13416151,20.68406874,
EU,Europe,GRC,Greece,2017,All,Age_all,[All],2122.00000000,1.70411654,6.83471346,19.73090651,
EU,Europe,GRC,Greece,2016,All,Age_all,[All],1753.00000000,1.47370368,6.19189802,16.26764838,
EU,Europe,GRC,Greece,2015,All,Age_all,[All],1780.00000000,1.46520147,6.36050113,16.44955108,
