Indicator Code: CG1480
"Indicator Name: Injuries"
Export date: 2/12/2025 9:33:27 AM
Source location: "WHO Mortality Database portal"
"Indicator metadata: V01-Y89 (minus X41-X42, X44-X45), U12.9"

Region Code,Region Name,Country Code,Country Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,"Age-standardized death rate per 100 000 standard population","Death rate per 100 000 population"
EU,Europe,GRC,Greece,2000,All,Age_all,[All],4496.00000000,4.27498336,34.63274827,41.18175139,
EU,Europe,GRC,Greece,2001,All,Age_all,[All],4400.00000000,4.29021344,33.91671036,40.18282088,
EU,Europe,GRC,Greece,2002,All,Age_all,[All],3993.00000000,3.84256363,30.28272488,36.34110179,
EU,Europe,GRC,Greece,2003,All,Age_all,[All],4041.00000000,3.82927916,30.74479553,36.65794230,
EU,Europe,GRC,Greece,2004,All,Age_all,[All],4147.00000000,3.95170666,31.30028318,37.48959815,
EU,Europe,GRC,Greece,2005,All,Age_all,[All],4244.00000000,4.03840481,32.40601587,38.22070548,
EU,Europe,GRC,Greece,2006,All,Age_all,[All],3881.00000000,3.69731728,29.24054341,34.81175505,
EU,Europe,GRC,Greece,2007,All,Age_all,[All],4143.00000000,3.76996224,31.01781355,37.01470466,
EU,Europe,GRC,Greece,2008,All,Age_all,[All],3849.00000000,3.56458200,28.10618597,34.25270720,
EU,Europe,GRC,Greece,2009,All,Age_all,[All],3868.00000000,3.57103290,28.45902848,34.28241924,
EU,Europe,GRC,Greece,2010,All,Age_all,[All],3554.00000000,3.25803968,25.80914372,31.43030807,
EU,Europe,GRC,Greece,2011,All,Age_all,[All],3460.00000000,3.11433946,24.84303813,30.61940129,
EU,Europe,GRC,Greece,2012,All,Age_all,[All],3466.00000000,2.97082319,24.22136981,31.24554046,
EU,Europe,GRC,Greece,2013,All,Age_all,[All],3473.00000000,3.10660679,23.37161297,31.67281047,
EU,Europe,GRC,Greece,2014,All,Age_all,[All],3389.00000000,2.97960260,21.67029733,31.11352544,
EU,Europe,GRC,Greece,2020,All,Age_all,[All],4556.00000000,3.47563394,21.54713722,42.58505491,
EU,Europe,GRC,Greece,2019,All,Age_all,[All],4409.00000000,3.52674858,22.95697546,41.12278542,
EU,Europe,GRC,Greece,2018,All,Age_all,[All],4333.00000000,3.59994350,23.54974120,40.37120263,
EU,Europe,GRC,Greece,2017,All,Age_all,[All],4177.00000000,3.35442733,22.38232033,38.83882964,
EU,Europe,GRC,Greece,2016,All,Age_all,[All],4001.00000000,3.36354160,23.38697779,37.12884265,
EU,Europe,GRC,Greece,2015,All,Age_all,[All],3972.00000000,3.26953945,25.17402801,36.70652633,
