Indicator Code: CG1070
"Indicator Name: Ischaemic heart disease"
Export date: 2/12/2025 11:47:05 AM
Source location: "WHO Mortality Database portal"
"Indicator metadata: I20-I25"

Region Code,Region Name,Country Code,Country Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,"Age-standardized death rate per 100 000 standard population","Death rate per 100 000 population"
EU,Europe,GRC,Greece,2000,All,Age_all,[All],12910.00000000,12.27536370,66.16181659,118.25098097,
EU,Europe,GRC,Greece,2001,All,Age_all,[All],13114.00000000,12.78678614,66.30729033,119.76307113,
EU,Europe,GRC,Greece,2002,All,Age_all,[All],13181.00000000,12.68440552,65.14765792,119.96295082,
EU,Europe,GRC,Greece,2003,All,Age_all,[All],14067.00000000,13.32998512,68.33274176,127.60882810,
EU,Europe,GRC,Greece,2004,All,Age_all,[All],13905.00000000,13.25017629,66.97429931,125.70360798,
EU,Europe,GRC,Greece,2005,All,Age_all,[All],12729.00000000,12.11235976,59.68188993,114.63509898,
EU,Europe,GRC,Greece,2006,All,Age_all,[All],12689.00000000,12.08844600,57.74203805,113.81766552,
EU,Europe,GRC,Greece,2007,All,Age_all,[All],12494.00000000,11.36903408,56.54362292,111.62484190,
EU,Europe,GRC,Greece,2008,All,Age_all,[All],11624.00000000,10.76505617,51.13287559,103.44335373,
EU,Europe,GRC,Greece,2020,All,Age_all,[All],13953.00000000,10.64431967,45.18607352,130.41906741,
EU,Europe,GRC,Greece,2019,All,Age_all,[All],13829.00000000,11.06178409,46.13548929,128.98321605,
EU,Europe,GRC,Greece,2018,All,Age_all,[All],12808.00000000,10.64114387,44.17110306,119.33403262,
EU,Europe,GRC,Greece,2017,All,Age_all,[All],13148.00000000,10.55877676,46.31339327,122.25351500,
EU,Europe,GRC,Greece,2016,All,Age_all,[All],11787.00000000,9.90903894,43.30382691,109.38207157,
EU,Europe,GRC,Greece,2015,All,Age_all,[All],12296.00000000,10.12141417,45.24061545,113.63128091,
EU,Europe,GRC,Greece,2014,All,Age_all,[All],12200.00000000,10.72621769,45.38850938,112.00501929,
EU,Europe,GRC,Greece,2013,All,Age_all,[All],11408.00000000,10.20448325,44.97873585,104.03784103,
EU,Europe,GRC,Greece,2012,All,Age_all,[All],11803.00000000,10.11674152,47.58324089,106.40251414,
EU,Europe,GRC,Greece,2011,All,Age_all,[All],11500.00000000,10.35112827,47.02014176,101.76968635,
EU,Europe,GRC,Greece,2010,All,Age_all,[All],11332.00000000,10.38832459,47.30141038,100.21616517,
EU,Europe,GRC,Greece,2009,All,Age_all,[All],11922.00000000,11.00668415,51.45500639,105.66571929,
