Indicator Code: CG0600
"Indicator Name: Malignant neoplasms"
Export date: 2/12/2025 9:33:02 AM
Source location: "WHO Mortality Database portal"
"Indicator metadata: C00-C97"

Region Code,Region Name,Country Code,Country Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,"Age-standardized death rate per 100 000 standard population","Death rate per 100 000 population"
EU,Europe,GRC,Greece,2000,All,Age_all,[All],23763.00000000,22.59484644,125.13653542,217.66057792,
EU,Europe,GRC,Greece,2001,All,Age_all,[All],24402.00000000,23.79313371,126.01492979,222.85027159,
EU,Europe,GRC,Greece,2002,All,Age_all,[All],24380.00000000,23.46148294,123.02948597,221.88731819,
EU,Europe,GRC,Greece,2003,All,Age_all,[All],24789.00000000,23.49022544,122.55062988,224.87347975,
EU,Europe,GRC,Greece,2004,All,Age_all,[All],25438.00000000,24.24005641,123.75015158,229.96392519,
EU,Europe,GRC,Greece,2005,All,Age_all,[All],25884.00000000,24.63008250,122.64235381,233.10667783,
EU,Europe,GRC,Greece,2006,All,Age_all,[All],25660.00000000,24.44554531,118.09084780,230.16481182,
EU,Europe,GRC,Greece,2007,All,Age_all,[All],26862.00000000,24.44333227,120.81130279,239.99251665,
EU,Europe,GRC,Greece,2008,All,Age_all,[All],27379.00000000,25.35585623,119.89065769,243.64896608,
EU,Europe,GRC,Greece,2009,All,Age_all,[All],27328.00000000,25.22988294,117.48512407,242.21043254,
EU,Europe,GRC,Greece,2010,All,Age_all,[All],27159.00000000,24.89732683,114.19009559,240.18450670,
EU,Europe,GRC,Greece,2011,All,Age_all,[All],27341.00000000,24.60958244,112.72399525,241.95521691,
EU,Europe,GRC,Greece,2012,All,Age_all,[All],28177.00000000,24.15143827,117.17296285,254.01200042,
EU,Europe,GRC,Greece,2013,All,Age_all,[All],28844.00000000,25.80102689,117.96767962,263.04939399,
EU,Europe,GRC,Greece,2014,All,Age_all,[All],29086.00000000,25.57235801,117.44502949,267.03098288,
EU,Europe,GRC,Greece,2020,All,Age_all,[All],30196.00000000,23.03561075,112.14593534,282.24282660,
EU,Europe,GRC,Greece,2019,All,Age_all,[All],29997.00000000,23.99452870,112.52023653,279.78230760,
EU,Europe,GRC,Greece,2018,All,Age_all,[All],29732.00000000,24.70194329,113.32022321,277.01744673,
EU,Europe,GRC,Greece,2017,All,Age_all,[All],29872.00000000,23.98933522,114.71895887,277.75760572,
EU,Europe,GRC,Greece,2016,All,Age_all,[All],30054.00000000,25.26565337,116.75196945,278.89783481,
EU,Europe,GRC,Greece,2015,All,Age_all,[All],29686.00000000,24.43593859,117.03516094,274.33785012,
