Indicator Code: CG0380
"Indicator Name: Respiratory infections"
Export date: 2/12/2025 9:37:34 AM
Source location: "WHO Mortality Database portal"
"Indicator metadata: H65-H66, J00-J22,  P23, U04, U07.1, U07.2, U09.9, U10.9"

Region Code,Region Name,Country Code,Country Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,"Age-standardized death rate per 100 000 standard population","Death rate per 100 000 population"
EU,Europe,GRC,Greece,2000,All,Age_all,[All],2921.00000000,2.77740801,14.01978148,26.75531491,
EU,Europe,GRC,Greece,2001,All,Age_all,[All],2542.00000000,2.47857331,12.24699018,23.21471152,
EU,Europe,GRC,Greece,2002,All,Age_all,[All],2813.00000000,2.70702016,13.11197153,25.60168278,
EU,Europe,GRC,Greece,2003,All,Age_all,[All],3211.00000000,3.04276550,14.73413689,29.12859508,
EU,Europe,GRC,Greece,2004,All,Age_all,[All],3388.00000000,3.22845000,15.31431891,30.62810671,
EU,Europe,GRC,Greece,2005,All,Age_all,[All],3887.00000000,3.69869922,16.88226182,35.00562729,
EU,Europe,GRC,Greece,2006,All,Age_all,[All],3559.00000000,3.39055712,14.79468579,31.92348267,
EU,Europe,GRC,Greece,2007,All,Age_all,[All],4470.00000000,4.06751900,17.78225831,39.93621284,
EU,Europe,GRC,Greece,2008,All,Age_all,[All],4379.00000000,4.05541818,16.85945109,38.96924002,
EU,Europe,GRC,Greece,2009,All,Age_all,[All],4633.00000000,4.27729975,17.09441771,41.06268055,
EU,Europe,GRC,Greece,2010,All,Age_all,[All],4295.00000000,3.93733270,14.85796613,37.98344771,
EU,Europe,GRC,Greece,2011,All,Age_all,[All],4594.00000000,4.13505072,15.42988799,40.65477731,
EU,Europe,GRC,Greece,2012,All,Age_all,[All],5400.00000000,4.62851853,16.34784212,48.68029962,
EU,Europe,GRC,Greece,2013,All,Age_all,[All],5191.00000000,4.64336190,15.23024828,47.34050077,
EU,Europe,GRC,Greece,2014,All,Age_all,[All],5617.00000000,4.93845613,15.70812089,51.56821257,
EU,Europe,GRC,Greece,2020,All,Age_all,[All],11197.00000000,8.54185103,30.80911962,104.65866106,
EU,Europe,GRC,Greece,2019,All,Age_all,[All],6756.00000000,5.40410827,15.53251157,63.01327700,
EU,Europe,GRC,Greece,2018,All,Age_all,[All],6185.00000000,5.13862233,14.53412537,57.62656088,
EU,Europe,GRC,Greece,2017,All,Age_all,[All],6866.00000000,5.51388510,16.27404163,63.84184925,
EU,Europe,GRC,Greece,2016,All,Age_all,[All],6674.00000000,5.61066649,17.35784618,61.93399047,
EU,Europe,GRC,Greece,2015,All,Age_all,[All],6787.00000000,5.58669795,17.42180318,62.72084447,
